,country,province,region_1,region_2,winery
10047,Spain,Northern Spain,Ribera del Duero,,Bodegas Fuentespina
10049,South Africa,Western Cape,,,Bizoe
10052,France,Provence,Côtes de Provence,,Château Barbanau
10053,France,Provence,Coteaux Varois en Provence,,Château Margüi
10057,US,California,Dry Creek Valley,Sonoma,Orsi Family Vineyards
10058,Spain,Northern Spain,Vino de la Tierra de Castilla y León,,Ossian
10061,US,California,Alexander Valley,Sonoma,Kicker Cane
10062,US,New York,North Fork of Long Island,Long Island,Kontokosta
10066,France,Southwest France,Cahors,,Rigal
10067,Italy,Veneto,Soave,,Tenuta Grimani
10072,Italy,Tuscany,Brunello di Montalcino,,Val di Suga
10073,US,California,California,California Other,Vin Vault
10076,US,California,Russian River Valley,Sonoma,Zoetic Wines
10079,France,Rhône Valley,Collines Rhôdaniennes,,Cave de Tain
10081,Germany,Germany,,,Dachshund
10092,US,California,Santa Barbara County,Central Coast,Summerland
10093,US,California,Edna Valley,Central Coast,Tangent
10096,US,California,Napa Valley,Napa,Venge
10098,Italy,Piedmont,Loazzolo,,Borgo Isolabella
10100,Italy,Tuscany,Brunello di Montalcino,,Castello di Vicarello
10101,France,Burgundy,Mâcon-Cruzille,,Domaine Guillot-Broux
10105,Italy,Piedmont,Moscato d'Asti,,Ghione
10110,Italy,Tuscany,Toscana,,Fabrizio Dionisio
10112,Argentina,Mendoza Province,Agrelo,,Finca Decero
10114,US,California,El Dorado County,Sierra Foothills,Due Vigne
10117,US,Washington,Yakima Valley,Columbia Valley,Hard Row To Hoe
10119,Italy,Sicily & Sardinia,Sicilia,,Baglio Curatolo Arini 1875
10121,US,Washington,Walla Walla Valley (WA),Columbia Valley,Beresan
10122,US,California,Humboldt County,North Coast,Cabot Vineyards
10128,Spain,Northern Spain,Rioja,,Marqués de Terán
10129,France,Burgundy,Bourgogne,,Maurice Ecard
10131,Italy,Sicily & Sardinia,Sicilia,,Maurigi
10132,New Zealand,Marlborough,,,Jules Taylor
10139,Italy,Sicily & Sardinia,Sicilia,,Scilio
10150,Italy,Piedmont,Barolo,,Ciabot Berton
10160,Italy,Piedmont,Barolo,,Alessandro Veglio
10165,Italy,Piedmont,Barbera d'Alba Superiore,,Negretti
10167,Spain,Northern Spain,Rioja,,Pingao
10168,Argentina,Mendoza Province,Mendoza,,Ruta 22
10169,Germany,Pfalz,,,Sun Garden
10172,France,Southwest France,Cahors,,Château du Caillau
10175,US,Washington,Walla Walla Valley (WA),Columbia Valley,Chateau Walla Walla
10177,France,Rhône Valley,Ventoux,,Le Grand Vallat
10180,Spain,Catalonia,Cava,,Marques de Monistrol
10182,Italy,Veneto,Amarone della Valpolicella Classico,,Monteci
10186,US,Washington,Columbia Valley (WA),Columbia Valley,O
10190,US,Washington,Walla Walla Valley (WA),Columbia Valley,Sweet Valley
10192,Spain,Northern Spain,Rioja,,Fernández de Piérola
10198,France,Rhône Valley,Clairette de Die Méthode Dioise Ancestrale,,Raymond Beck
10204,Spain,Catalonia,Penedès,,Cristalino
10206,US,California,Santa Ynez Valley,Central Coast,Buttonwood Farm
10207,US,California,California,California Other,Thornton
10208,US,California,Sonoma County,Sonoma,Barefoot Cellars
10209,US,California,California,California Other,Bel Arbor
10210,US,California,Napa Valley,Napa,Mumm Cuvée Napa
10213,US,California,Santa Barbara County,Central Coast,M. Trinchero
10220,US,California,Napa Valley,Napa,Newlan
10222,Spain,Catalonia,Penedès,,Parxet
10229,US,Oregon,Walla Walla Valley (OR),Oregon Other,Laelaps
10232,US,Oregon,Oregon,Oregon Other,Lumos
10241,Germany,Mosel,,,Thanisch
10242,Germany,Rheingau,,,Toni Jost
10244,US,California,Santa Barbara County,Central Coast,Ground Boots
10245,France,Rhône Valley,Côtes du Rhône,,Christian Leperchois
10257,Austria,Burgenland,,,Weninger
10258,France,Bordeaux,Bordeaux,,Château de Costis
10259,France,Bordeaux,Cadillac Côtes de Bordeaux,,Château du Cros
10261,France,Bordeaux,Bordeaux Supérieur,,Château Haut-Mongeat
10264,US,California,Carmel Valley,Central Coast,Galante
10265,Australia,South Australia,Eden Valley,,Mesh
10266,US,California,Russian River Valley,Sonoma,Inman Family
10267,US,Oregon,Chehalem Mountains,Willamette Valley,Longplay
10270,Italy,Central Italy,Umbria,,Antonelli
10271,France,Bordeaux,Bordeaux Supérieur,,Caves de Rauzan
10272,France,Bordeaux,Cadillac Côtes de Bordeaux,,Château Brethous
10273,Italy,Central Italy,Montefalco Rosso,,Tabarrini
10274,France,Bordeaux,Bordeaux Blanc,,Château Rauzan Despagne
10275,Italy,Central Italy,Umbria,,Cirulli
10278,France,Alsace,Alsace,,André Kientzler
10280,US,California,Bennett Valley,Sonoma,Bodega Rancho
10283,US,Virginia,Monticello,,Veritas
10284,Italy,Central Italy,Colline Pescaresi,,Pasetti
10285,Spain,Northern Spain,Calatayud,,Picos Pardos
10290,Slovenia,Kras,,,Štoka
10291,Spain,Northern Spain,Toro,,Toriles
10292,US,California,Oakville,Napa,Veedercrest
10294,Austria,Burgenland,,,Kracher
10295,Spain,Catalonia,Cava,,Marqués de Gelida
10296,France,Alsace,Alsace,,Meyer-Fonné
10301,Croatia,Croatia,,,Bibich
10303,US,California,Calistoga,Napa,Shypoke
10304,France,Loire Valley,Muscadet Sèvre et Maine,,Château du Coing de Saint-Fiacre
10305,France,Bordeaux,Saint-Émilion,,Château Jean-Faure
10311,US,Oregon,Walla Walla Valley (OR),Oregon Other,Riverhaven
10313,South Africa,Overberg,,,Bouchard Finlayson
10315,US,California,Russian River Valley,Sonoma,Churchill Cellars
10317,New Zealand,Waipara,,,Mountford
10319,France,Bordeaux,Pauillac,,Château Béhèré Courtin
10320,France,Bordeaux,Margaux,,Château la Tour de Bessan
10322,France,Bordeaux,Pomerol,,Vieux Château des Templiers
10323,Italy,Northeastern Italy,Trento,,Cesarini Sforza
10327,France,Loire Valley,Saumur-Champigny,,Domaine des Roches Neuves
10331,New Zealand,Awatere Valley,,,Vavasour
10332,Spain,Galicia,Ribeiro,,Viña Mein
10335,Italy,Tuscany,Monteregio di Massa Marittima,,Rocca di Montemassi
10337,Italy,Tuscany,Vino Nobile di Montepulciano,,Boscarelli
10342,Spain,Galicia,Rías Baixas,,Leira
10344,Italy,Tuscany,Morellino di Scansano,,Morisfarms
10345,Italy,Tuscany,Chianti Classico,,Ormanni
10346,Portugal,Port,,,Quinta da Gaivosa
10348,France,Bordeaux,Bordeaux Blanc,,Château La Croix de Queynac
10349,France,Bordeaux,Blaye Côtes de Bordeaux,,Château l'Espérance
10350,US,California,San Luis Obispo County,Central Coast,Croma Vera
10351,Italy,Piedmont,Barolo,,Demarie
10353,Italy,Piedmont,Barolo,,Ellena
10354,Spain,Northern Spain,Bierzo,,Encanto
10355,Spain,Northern Spain,Getariako Txakolina,,Finca Jakue
10357,Spain,Northern Spain,Rioja,,Taron
10358,US,Washington,Horse Heaven Hills,Columbia Valley,Almquist
10361,Spain,Northern Spain,Rioja,,Aspaldi
10362,Austria,Thermenregion,,,Biegler
10364,Spain,Northern Spain,Ribera del Duero,,Carravid
10365,France,Bordeaux,Montagne-Saint-Émilion,,Château Croix de Mission
10368,France,Bordeaux,Bordeaux,,Château du Juge
10374,US,Washington,Rattlesnake Hills,Columbia Valley,Latah Creek
10375,Austria,Burgenland,,,Golser Wein
10385,France,Alsace,Alsace,,Château d'Orschwihr
10394,US,Washington,Columbia Valley (WA),Columbia Valley,Saggi
10395,US,California,Monterey,Central Coast,Scheid Vineyards
10397,Austria,Burgenland,,,Iby
10400,France,Languedoc-Roussillon,Maury,,Mas Amiel
10402,Spain,Northern Spain,Ribera del Duero,,Arrocal
10411,US,California,Napa Valley,Napa,Rombauer
10426,France,Burgundy,Marsannay,,Domaine Sylvain Pataille
10432,US,Oregon,Chehalem Mountains,Willamette Valley,Vidon Vineyard
10433,Italy,Southern Italy,Fiano di Avellino,,Villa Raiano
10439,Italy,Piedmont,Moscato d'Asti,,Bella Bollè
10441,Argentina,Mendoza Province,Mendoza,,Tierra Prometida
10443,US,California,Napa Valley,Napa,Stonegate
10444,Argentina,Mendoza Province,Mendoza,,Tapiz
10446,South Africa,Western Cape,,,Two Oceans
10448,France,Burgundy,Bourgogne,,Domaine Thierry Mortet
10449,US,California,Sonoma Coast,Sonoma,Garnet
10452,Italy,Piedmont,Moscato d'Asti,,Arbiola
10456,US,California,Lake County,,Quackenbush
10459,Argentina,Mendoza Province,,,Tango Reàl
10460,US,California,Lodi,Central Valley,Earthquake
10462,US,California,Paso Robles,Central Coast,Artisan Uprising
10467,Spain,Northern Spain,Ribera del Duero,,Bodegas Imperiales
10468,France,Rhône Valley,Côtes du Rhône,,Domaine Coudoulis
10469,Germany,Nahe,,,Weingut Weber
10470,Italy,Tuscany,Toscana,,Castello di Meleto
10471,Italy,Tuscany,Toscana,,Cecchi
10475,Italy,Tuscany,Toscana,,Diadema
10477,Greece,Peloponnese,,,Zacharias
10487,US,California,Paso Robles,Central Coast,Espana Robles
10488,Spain,Catalonia,Conca de Barberà,,Molí dels Capellans
10490,Italy,Lombardy,Valtellina Superiore,,Plozza
10493,France,Southwest France,Bergerac,,Clos des Verdots
10494,France,France Other,Vin de Table Francais,,Domaine de la Tour Boisée
10495,France,Beaujolais,Juliénas,,Domaine du Moulin Berger
10496,South Africa,Stellenbosch,,,Meerlust
10497,France,Beaujolais,Brouilly,,Mommessin
10504,Italy,Northeastern Italy,Colli Orientali del Friuli,,Valle
10507,South Africa,Paarl,,,Black Pearl
10509,South Africa,Olifants River,,,Diamond River
10511,US,California,Napa County,Napa,Enjoie
10513,Chile,Rapel Valley,,,Gracia de Chile
10515,Spain,Northern Spain,Ribera del Duero,,Recoletas
10523,Spain,Galicia,Ribeiro,,Viña Costeira
10527,Uruguay,Juanico,,,Pueblo del Sol
10533,Germany,Rheinhessen,,,Brüder Dr. Becker
10538,Italy,Northwestern Italy,Valle d'Aosta,,Caves Cooperatives de Donnas
10545,Spain,Catalonia,Terra Alta,,Edetària
10548,Germany,Rheinhessen,,,Weingut Georg Albrecht Schneider
10553,Italy,Lombardy,Lugana,,Marangona
10554,Italy,Northeastern Italy,Alto Adige,,Peter Zemmer
10557,US,California,California,California Other,Rhiannon
10558,France,France Other,Atlantique,,Terre de Vignerons
10562,France,Bordeaux,Blaye Côtes de Bordeaux,,Château Les Bertrands
10565,Brazil,Campanha,,,Salton
10572,France,Bordeaux,Bordeaux Rosé,,Château Marot
10576,US,Virginia,Virginia,,Gray Ghost
10577,Chile,Curicó Valley,,,Junta
10578,US,California,Atlas Peak,Napa,Mario Perelli-Minetti
10580,US,California,St. Helena,Napa,Salvestrin
10584,US,Virginia,Virginia,,Horton
10586,Uruguay,Canelones,,,Marichal
10587,Italy,Tuscany,Brunello di Montalcino,,Luce della Vite
10590,US,New York,North Fork of Long Island,Long Island,Baiting Hollow Farm Vineyard
10592,France,Bordeaux,Lussac Saint-Émilion,,Château de la Grenière
10593,France,Bordeaux,Haut-Médoc,,Château de Sainte-Gemme
10601,Italy,Lombardy,Lugana,,Cà dei Frati
10602,US,California,Lake County,,Chacewater
10603,France,Provence,Côtes de Provence,,Château de Berne
10607,France,Provence,Côtes de Provence,,Château Minuty
10608,France,Provence,Côtes de Provence,,Château Roubine
10610,US,California,Central Coast,Central Coast,Clos LaChance
10613,US,California,Anderson Valley,,Expression 39
10614,Argentina,Mendoza Province,Mendoza,,Fabre Montmayou
10617,Austria,Vienna,,,Wieninger
10621,US,California,Paso Robles,Central Coast,Ancient Peaks
10626,France,Provence,Côtes de Provence,,Château Saint-Maur
10627,US,California,Edna Valley,Central Coast,Chêne
10628,Italy,Lombardy,Lugana,,Citari
10629,US,Washington,Horse Heaven Hills,Columbia Valley,Den Hoed
10631,Italy,Sicily & Sardinia,Sicilia,,Feudo Arancio
10633,Italy,Sicily & Sardinia,Sicilia,,Feudo Disisa
10634,Italy,Sicily & Sardinia,Sicilia,,Feudo Monaci
10637,Israel,Israel,,,Flam
10641,New Zealand,Marlborough,,,Ara
10645,Israel,Galilee,,,Bazelet HaGolan
10646,US,New York,Seneca Lake,Finger Lakes,Belhurst
10651,Spain,Northern Spain,Ribera del Duero,,Convento San Francisco
10656,France,Beaujolais,Beaujolais,,Domaine Chasselay
10657,US,Washington,Walla Walla Valley (WA),Columbia Valley,Lujon
10658,US,California,Carneros,Napa-Sonoma,Mahoney
10659,US,California,San Antonio Valley,Central Coast,Swirl
10660,Spain,Central Spain,Vino de la Tierra de Castilla,,Altozano
10661,France,Bordeaux,Bordeaux,,Baron Philippe de Rothschild
10662,Argentina,Other,Patagonia,,Bodega NQN
10663,US,California,California,California Other,Bowtie
10664,France,Bordeaux,Bordeaux Blanc,,Château Briot
10665,France,Bordeaux,Bordeaux,,Château Chaubinet
10666,France,Bordeaux,Bordeaux Supérieur,,Château de Lugagnac
10667,France,Bordeaux,Bordeaux,,Château Gabaron
10668,France,Bordeaux,Lalande de Pomerol,,Château Vieux Ferrand
10669,Spain,Galicia,Rías Baixas,,Don Olegario
10670,Italy,Southern Italy,Salento,,Cortenova
10671,Italy,Southern Italy,Salento,,Pasqua
10673,Argentina,Other,Argentina,,San Huberto
10677,Spain,Catalonia,Cava,,Louis Drescher
10679,Argentina,Mendoza Province,Mendoza,,Finca Los Maza
10681,US,California,Napa Valley,Napa,Deep Sea
10682,US,Washington,Columbia Valley (WA),Columbia Valley,Des Voigne Cellars
10684,France,Loire Valley,Vouvray,,Collegiale des Domaines de Loire
10686,France,Loire Valley,Val de Loire,,Bougrier
10688,Italy,Veneto,Prosecco,,Cavazza
10691,Italy,Veneto,Prosecco,,Nobilissima
10694,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Baldi
10695,Italy,Veneto,Conegliano Valdobbiadene Prosecco Superiore,,Biancariva
10696,South Africa,Western Cape,,,Roos Family
10697,US,California,California,California Other,Mancan
10698,Italy,Veneto,Prosecco,,Adria Vini
10699,Germany,Rheinhessen,,,Art of Earth
10701,France,Loire Valley,Touraine,,Albert Besombes
10702,Italy,Veneto,Prosecco,,Amore di Amanti
10708,France,Loire Valley,Muscadet Sèvre et Maine,,Les Vignerons du Pallet
10712,Spain,Central Spain,Sierra de Salamanca,,La Zorra
10715,Canada,British Columbia,Okanagan Valley,,Black Hills
10718,Austria,Leithaberg,,,Hillinger
10720,Austria,Wachau,,,Lagler
10724,Austria,Carnuntum,,,Muhr-Van der Niepoort
10727,Canada,British Columbia,Okanagan Valley,,Painted Rock
10731,Austria,Kremstal,,,Mantlerhof
10732,Italy,Piedmont,Barolo,,Mario Gagliasso
10738,US,California,Paso Robles,Central Coast,Burbank Ranch
10739,Canada,British Columbia,Okanagan Valley,,Church & State
10742,US,Washington,Red Mountain,Columbia Valley,Corvus
10751,Portugal,Dão,,,Vinha Paz
10754,Italy,Tuscany,Bolgheri Superiore,,Podere Sapaio
10755,Portugal,Alentejano,,,Quinta do Quetzal
10759,US,California,Sonoma Coast,Sonoma,Brogan
10764,Italy,Tuscany,Bolgheri Superiore,,Grattamacco
10771,Italy,Lombardy,Franciacorta,,Cola
10775,France,France Other,Chignin-Bergeron,,Domaine les Cantates
10777,Italy,Tuscany,Vin Santo del Chianti Rufina,,Fattoria di Grignano
10778,Italy,Lombardy,Franciacorta,,Ferghettina
10780,Germany,Mosel,,,Dr. Pauly Bergweiler
10781,France,Champagne,Champagne,,Veuve Clicquot Ponsardin
10782,Italy,Lombardy,Franciacorta,,Villa
10802,Italy,Piedmont,Barbaresco,,Dezzani
10807,Spain,Northern Spain,Rueda,,Lagar del Rey
10809,Spain,Catalonia,Priorat,,Mas d'en Gil
10810,Italy,Piedmont,Barbaresco,,Poderi Elia
10811,Spain,Catalonia,Priorat,,Portal del Priorat
10812,Italy,Piedmont,Barbaresco,,Cantina Terre del Barolo
10814,US,California,Santa Clara Valley,Central Coast,Castillo's Hillside Shire
10818,France,Burgundy,Mâcon La Roche Vineuse,,Château La Greffière
10819,France,Languedoc-Roussillon,Pays d'Oc,,Domaine de Cabriac
10821,US,New York,Seneca Lake,Finger Lakes,J.R. Dill
10823,Italy,Piedmont,Barbera d'Asti,,San Silvestro
10834,Italy,Piedmont,Barbaresco,,Pelissero
10835,Australia,South Australia,Barossa,,Peter Lehmann
10836,US,California,Napa Valley,Napa,Selene
10837,US,California,Dry Creek Valley,Sonoma,Stephen & Walker
10838,Italy,Piedmont,Barbaresco,,Pe're Alessandro
10840,Italy,Piedmont,Barolo,,Roagna
10845,Italy,Piedmont,Barolo,,Gianni Gagliardo
10848,Portugal,Douro,,,Burmester
10853,Italy,Veneto,Amarone della Valpolicella Classico,,Cottini
10861,France,Languedoc-Roussillon,Côtes du Roussillon Les Aspres,,Lafage
10862,France,Languedoc-Roussillon,Côtes du Roussillon Villages,,Domaine Calvet-Thunevin
10863,France,Languedoc-Roussillon,Côtes du Roussillon,,Château Avernus
10872,Austria,Neusiedlersee,,,Heiss
10874,Italy,Veneto,Amarone della Valpolicella,,Monte dall'Ora
10876,Portugal,Port,,,Andresen
10879,Italy,Southern Italy,Castel del Monte,,Rivera
10881,Austria,Südsteiermark,,,Skoff
10882,Canada,British Columbia,Okanagan Valley,,St. Hubertus
10886,US,California,Amador County,Sierra Foothills,Borjón
10888,US,Washington,Red Mountain,Columbia Valley,Canvasback
10889,France,Southwest France,Cahors,,Château Haut-Monplaisir
10891,France,Loire Valley,Muscadet Sèvre et Maine,,Domaine du Fief aux Dames
10892,Italy,Piedmont,Barolo,,Domenico Clerico
10907,Italy,Southern Italy,Primitivo di Manduria,,Cantine Paolo Leo
10911,France,Alsace,Alsace,,Cave de Hunawihr
10914,US,California,Oakville,Napa,Continuum
10917,US,California,Santa Cruz Mountains,Central Coast,Domaine Eden
10920,France,Champagne,Champagne,,Esterlin
10926,Italy,Northeastern Italy,Collio,,Raccaro
10929,US,Oregon,Eola-Amity Hills,Willamette Valley,Lavinea
10934,US,California,Sta. Rita Hills,Central Coast,Windrun
10943,Spain,Central Spain,Vino de la Tierra de Castilla,,Sedosa
10945,France,Bordeaux,Entre-Deux-Mers,,La Fleur Ribeyrolles
10948,Portugal,Lisboa,,,Caves Bonifacio
10949,France,Bordeaux,Bordeaux,,Château Champ du Moulin
10951,France,Bordeaux,Bordeaux Blanc,,Château Saint-Florin
10952,France,Bordeaux,Saint-Émilion,,Cheval Quancard
10955,US,Washington,Walla Walla Valley (WA),Columbia Valley,Elephant Seven
10959,France,Bordeaux,Bordeaux Supérieur,,A. de Luze et Fils
10960,US,California,Sonoma County,Sonoma,Bodkin
10961,Argentina,Mendoza Province,Uco Valley,,Altamira
10967,Argentina,Mendoza Province,Uco Valley,,Finca La Luz
10972,Italy,Central Italy,Marche,,Il Pollenza
10974,Portugal,Port,,,Barros
10975,US,California,Santa Ynez Valley,Central Coast,Carr
10977,France,Rhône Valley,Châteauneuf-du-Pape,,Domaine de Nalys
10980,Italy,Central Italy,Montepulciano d'Abruzzo,,Cantina Zaccagnini
10983,France,Southwest France,Bergerac Sec,,Château de la Jaubertie
10992,Hungary,Hungary,,,Apátsági
10993,US,Oregon,Willamette Valley,Willamette Valley,Bryn Mawr Vineyards
10994,Portugal,Alentejano,,,Casa Agricola Alexandre Relvas
11000,Italy,Piedmont,Barbaresco,,Col dei Venti
11001,US,California,Sonoma Coast,Sonoma,Delgado
11002,US,Oregon,Willamette Valley,Willamette Valley,Dois Irmãos
11006,France,Loire Valley,Coteaux du Giennois,,Florian Roblin
11008,US,Oregon,Columbia Gorge (OR),Oregon Other,Heart Catcher
11016,Italy,Tuscany,Chianti,,Tenuta Santo Pietro
11018,Germany,Baden,,,Weingut Stadt Lahr
11019,US,California,Russian River Valley,Sonoma,Windsor Oaks
11021,France,Bordeaux,Bordeaux,,Château les Reuilles
11025,France,Beaujolais,Beaujolais,,Domaine de la Prébende
11028,France,Southwest France,Côtes de Duras,,Vincent Lataste
11039,Italy,Veneto,Soave,,Marcato
11044,Italy,Tuscany,Chianti Classico,,Il Molino di Grace
11045,US,Oregon,Umpqua Valley,Southern Oregon,Iris Vineyards
11047,US,California,Russian River Valley,Sonoma,Joseph Soggé
11048,Italy,Tuscany,Chianti Classico,,La Castellina
11049,France,Southwest France,Côtes de Gascogne,,Domaine Chiroulet
11053,US,California,Alexander Valley,Sonoma,Trig Point
11054,US,California,Sonoma County,Sonoma,Tyler Florence
11055,US,Oregon,Willamette Valley,Willamette Valley,R. Stuart & Co.
11062,US,California,Russian River Valley,Sonoma,L'Oliveto
